Date Opened,Date Closed,Fiscal Year,Closure Description,Not Timely,Not Jurisdictional,Processor,Housing,Employment,Public Accommodations,Education,Credit,Race,Race Type,Disability,Age,Sex,Sex Type,Pregnancy,National Origin,National Origin Type,Familial Status,Marital Status,Religion,Religion Type,Creed,Color,Sexual Orientation,Gender Identity,Retaliation,Processing Days
10/14/2025,11/05/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Other,Yes,Yes,No,,No,Yes,Other National Origin,No,No,Yes,Protestant,No,No,No,No,Yes,22
10/13/2025,10/22/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,9
10/13/2025,10/15/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,No,No,No,No,No,,No,No,No,,No,No,,Yes,No,No,,No,No,No,No,No,2
10/13/2025,10/30/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Other,No,No,No,,No,Yes,Other National Origin,No,No,Yes,Other,No,Yes,No,No,Yes,17
10/10/2025,10/15/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,5
10/10/2025,10/27/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Other,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,17
10/09/2025,10/15/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,6
10/08/2025,10/15/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,7
10/08/2025,10/15/2025,2026,Not Timely,Yes,No,ICRC,No,Yes,No,No,No,No,,No,Yes,Yes,Male,No,No,,No,No,Yes,Catholic,No,No,Yes,Yes,Yes,7
10/07/2025,10/13/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,6
10/06/2025,10/13/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,7
10/06/2025,10/13/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,7
10/02/2025,10/07/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,5
10/02/2025,10/09/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,7
10/02/2025,10/22/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Black,No,No,Yes,Female,No,No,,No,No,No,,No,Yes,Yes,No,No,20
10/02/2025,10/09/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,No,Yes,No,No,Yes,Black,Yes,Yes,Yes,Male,No,Yes,Other National Origin,Yes,Yes,Yes,Protestant,No,Yes,Yes,Yes,Yes,7
10/01/2025,10/07/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,6
10/01/2025,10/07/2025,2026,Transferred to EEOC,No,No,EEOC,No,Yes,No,No,No,No,,No,No,Yes,Female,No,No,,No,No,No,,No,No,No,No,Yes,6
09/30/2025,10/01/2025,2026,Not Timely,Yes,No,ICRC,No,Yes,No,No,No,No,,Yes,No,Yes,Male,No,Yes,Other National Origin,No,No,No,,No,Yes,No,No,Yes,1
09/29/2025,10/07/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,8
09/29/2025,10/15/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Black,No,No,Yes,Female,No,No,,No,No,No,,No,Yes,No,No,Yes,16
09/26/2025,10/01/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,Yes,Yes,Yes,Yes,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,5
09/26/2025,10/22/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Black,No,No,No,,No,No,,No,No,No,,No,Yes,No,No,No,26
09/25/2025,10/30/2025,2026,Satisfactory Adjustment,No,No,ICRC,Yes,No,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,35
09/25/2025,10/01/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,No,No,No,No,No,,No,Yes,No,,Yes,No,,Yes,No,Yes,Other,No,No,No,No,No,6
09/25/2025,10/01/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Black,No,No,No,,No,No,,No,No,No,,No,Yes,No,No,No,6
09/23/2025,11/05/2025,2026,Satisfactory Adjustment,No,No,ICRC,Yes,No,No,No,No,Yes,Black,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,43
09/23/2025,09/25/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,2
09/18/2025,09/24/2025,2026,Not Timely,Yes,No,ICRC,No,Yes,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,6
09/18/2025,09/24/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Other,No,No,No,,No,No,,No,No,Yes,Other,No,No,No,No,Yes,6
09/18/2025,09/24/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,Yes,Yes,Yes,Yes,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,6
09/18/2025,10/13/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Black,No,Yes,No,,No,No,,No,No,No,,No,Yes,No,No,No,25
09/18/2025,10/09/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Black,Yes,Yes,No,,No,No,,No,No,No,,No,Yes,No,No,Yes,21
09/17/2025,09/24/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,Yes,No,No,,No,Yes,Other National Origin,No,No,Yes,Muslim,No,Yes,No,No,No,7
09/17/2025,09/25/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,8
09/15/2025,10/01/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,Yes,Catholic,No,No,No,No,No,16
09/15/2025,09/17/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Black,No,No,Yes,Female,No,Yes,Other National Origin,No,No,Yes,Other,No,Yes,Yes,No,Yes,2
09/15/2025,09/24/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,No,No,No,No,No,,No,No,Yes,Female,No,No,,No,No,No,,No,No,No,No,No,9
09/14/2025,09/17/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,No,No,Yes,Female,No,No,,No,No,No,,No,No,No,No,No,3
09/13/2025,09/17/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,4
09/12/2025,10/01/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Other,No,No,Yes,Male,No,Yes,Other National Origin,No,No,Yes,Other,No,Yes,No,No,No,19
09/12/2025,10/28/2025,2026,Satisfactory Adjustment,No,No,ICRC,Yes,No,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,46
09/12/2025,10/30/2025,2026,Satisfactory Adjustment,No,No,ICRC,Yes,No,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,48
09/11/2025,09/12/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,No,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,1
09/11/2025,09/25/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,No,No,No,No,No,,No,No,No,,No,No,,Yes,No,No,,No,No,No,No,No,14
09/10/2025,10/20/2025,2026,Withdrawal,No,No,ICRC,Yes,No,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,40
09/09/2025,09/24/2025,2026,Not Timely,Yes,No,ICRC,No,Yes,No,No,No,Yes,Black,No,No,Yes,Female,No,No,,No,No,No,,No,Yes,No,No,Yes,15
09/09/2025,09/15/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,6
09/09/2025,09/12/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,3
09/09/2025,09/12/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,3
09/08/2025,09/24/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,16
09/05/2025,09/15/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,10
09/05/2025,09/05/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,No,No,No,No,No,,Yes,No,No,,No,No,,No,No,Yes,Other,No,No,No,No,Yes,0
09/04/2025,10/10/2025,2026,Withdrawal,No,No,ICRC,Yes,No,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,36
09/04/2025,09/24/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Black,No,No,No,,No,No,,No,No,No,,No,Yes,No,No,No,20
09/03/2025,09/24/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,Yes,No,,No,No,,No,No,No,,No,No,No,No,No,21
09/03/2025,11/05/2025,2026,Satisfactory Adjustment,No,No,ICRC,Yes,No,No,No,No,Yes,Black,No,No,No,,No,No,,Yes,No,No,,No,No,No,No,No,63
09/03/2025,09/15/2025,2026,Administrative Closure,No,No,ICRC,No,No,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,12
09/03/2025,09/24/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Black,No,No,Yes,Male,No,No,,No,No,No,,No,Yes,No,No,Yes,21
09/02/2025,09/12/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,10
09/02/2025,09/09/2025,2026,Not Timely,Yes,No,ICRC,No,Yes,No,No,No,No,,No,No,No,,Yes,No,,No,No,No,,No,No,No,No,No,7
09/02/2025,10/07/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,35
09/01/2025,09/09/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Black,Yes,No,Yes,Male,No,No,,No,No,No,,No,Yes,Yes,No,Yes,8
09/01/2025,09/09/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,8
08/31/2025,09/09/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,9
08/28/2025,09/11/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,American Indian,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,14
08/28/2025,10/13/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,Yes,No,,No,No,,No,No,No,,No,No,No,No,Yes,46
08/26/2025,09/09/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,14
08/25/2025,09/03/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,9
08/25/2025,09/09/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Black,Yes,Yes,Yes,Male,No,Yes,Other National Origin,Yes,Yes,Yes,Other,No,Yes,Yes,No,Yes,15
08/25/2025,09/05/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Black,Yes,Yes,Yes,Male,No,Yes,Other National Origin,Yes,Yes,Yes,Other,No,Yes,Yes,No,Yes,11
08/25/2025,09/09/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,15
08/25/2025,09/03/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,9
08/21/2025,09/12/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Black,No,No,Yes,Male,No,No,,No,No,Yes,Other,No,Yes,Yes,No,Yes,22
08/21/2025,09/03/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,Yes,No,,No,No,,No,No,No,,No,No,No,No,Yes,13
08/21/2025,10/01/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Black,No,No,No,,No,No,,No,No,No,,No,Yes,No,No,No,41
08/20/2025,09/03/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,Yes,Yes,Yes,Yes,Yes,White,Yes,Yes,Yes,Male,No,Yes,Other National Origin,No,Yes,Yes,Other,No,Yes,Yes,No,Yes,14
08/20/2025,09/03/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Black,No,Yes,Yes,Male,No,Yes,Other National Origin,No,No,No,,No,Yes,No,No,Yes,14
08/20/2025,08/27/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,7
08/20/2025,08/27/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,Yes,No,,No,No,,No,No,No,,No,No,No,No,Yes,7
08/20/2025,08/27/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,No,No,Yes,Yes,Yes,Other,No,Yes,No,,No,Yes,Other National Origin,Yes,Yes,Yes,Muslim,No,Yes,No,No,Yes,7
08/19/2025,08/27/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,8
08/19/2025,08/27/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,8
08/18/2025,08/27/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,9
08/18/2025,08/27/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,9
08/17/2025,08/27/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,No,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,10
08/17/2025,09/10/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,Yes,No,,No,No,,No,No,No,,No,No,No,No,No,24
08/17/2025,08/20/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,No,No,No,No,Yes,Other,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,3
08/16/2025,08/20/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,4
08/16/2025,09/10/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,Yes,No,,No,No,,No,No,No,,No,No,No,No,No,25
08/14/2025,08/20/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Black,No,No,Yes,Male,No,Yes,Other National Origin,No,No,No,,No,Yes,Yes,No,Yes,6
08/13/2025,08/20/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,7
08/13/2025,08/20/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,7
08/12/2025,08/19/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,7
08/11/2025,08/19/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,8
08/11/2025,09/10/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,30
08/11/2025,08/19/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,8
08/11/2025,08/19/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,8
08/11/2025,10/15/2025,2026,Satisfactory Adjustment,No,No,ICRC,No,Yes,No,No,No,Yes,Black,No,No,No,,No,No,,No,No,No,,No,Yes,No,No,Yes,65
08/11/2025,09/03/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,Yes,Female,No,No,,No,No,No,,No,No,No,No,Yes,23
08/08/2025,10/20/2025,2026,Withdrawal with Satisfactory Adjustment,No,No,ICRC,No,Yes,No,No,No,No,,Yes,No,No,,Yes,No,,No,No,No,,No,No,No,No,No,73
08/08/2025,08/19/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,11
08/08/2025,10/10/2025,2026,Satisfactory Adjustment,No,No,ICRC,Yes,No,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,63
08/07/2025,08/12/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,No,No,No,Yes,Other,No,No,No,,No,Yes,Other National Origin,No,No,Yes,Muslim,No,Yes,No,No,Yes,5
08/07/2025,08/12/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,Yes,No,No,,No,No,No,No,No,5
08/07/2025,08/12/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Black,No,No,Yes,Male,No,No,,No,No,Yes,Other,No,Yes,Yes,No,Yes,5
08/06/2025,08/12/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,6
08/06/2025,09/03/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,Yes,Female,No,No,,No,No,No,,No,No,No,No,Yes,28
08/04/2025,10/29/2025,2026,Right to Sue,No,No,ICRC,No,Yes,No,No,No,No,,No,Yes,No,,No,No,,No,No,No,,No,No,No,No,Yes,86
08/04/2025,10/15/2025,2026,Right to Sue,No,No,ICRC,No,No,Yes,No,No,Yes,Other,No,No,No,,No,No,,No,No,No,,No,Yes,No,No,No,72
08/04/2025,08/06/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,2
08/04/2025,09/15/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,42
08/01/2025,09/25/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,No,No,No,No,No,,No,No,Yes,Female,No,No,,Yes,No,No,,No,No,No,No,No,55
08/01/2025,09/25/2025,2026,Satisfactory Adjustment,No,No,ICRC,Yes,No,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,55
08/01/2025,08/12/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Black,No,Yes,No,,No,No,,Yes,No,No,,No,Yes,No,No,Yes,11
08/01/2025,08/07/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Black,No,No,No,,No,No,,No,No,No,,No,Yes,No,No,No,6
07/31/2025,08/07/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,7
07/31/2025,08/27/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,Yes,Black,No,No,No,,Yes,No,,No,No,No,,No,Yes,No,No,No,27
07/30/2025,08/07/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,Yes,No,,No,No,,Yes,Yes,No,,No,No,No,No,No,8
07/30/2025,08/07/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,8
07/29/2025,09/25/2025,2026,No Jurisdiction,No,Yes,ICRC,Yes,No,No,No,No,Yes,Black,No,No,No,,No,No,,No,No,No,,No,Yes,No,No,Yes,58
07/29/2025,08/07/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,9
07/29/2025,08/07/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Black,No,No,No,,No,No,,No,No,No,,No,Yes,No,No,Yes,9
07/28/2025,08/07/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,No,Yes,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,10
07/28/2025,08/07/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,10
07/28/2025,08/20/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,Yes,No,No,,No,No,,No,No,Yes,Other,No,No,No,No,Yes,23
07/28/2025,08/07/2025,2026,Not Timely,Yes,No,ICRC,No,No,Yes,No,No,Yes,Black,No,No,No,,No,Yes,Other National Origin,No,No,No,,No,Yes,No,No,Yes,10
07/25/2025,07/30/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,5
07/25/2025,07/30/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,5
07/24/2025,07/30/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,6
07/23/2025,10/29/2025,2026,Local AC Closure,No,No,Local,No,Yes,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,98
07/23/2025,10/16/2025,2026,Administrative Closure,No,No,ICRC,Yes,No,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,85
07/23/2025,07/24/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,Black,Yes,No,Yes,Female,No,Yes,Other National Origin,No,No,No,,No,Yes,No,No,Yes,1
07/21/2025,07/24/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,Yes,No,,No,No,,No,No,No,,No,No,No,No,Yes,3
07/21/2025,07/25/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,4
07/21/2025,10/31/2025,2026,Right to Sue,No,No,ICRC,No,Yes,No,No,No,Yes,Other,No,No,No,,No,Yes,Other National Origin,No,No,No,,No,No,No,No,No,102
07/18/2025,11/05/2025,2026,No Probable Cause,No,No,ICRC,Yes,No,No,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,No,110
07/18/2025,11/07/2025,2026,Right to Sue,No,No,ICRC,No,Yes,No,No,No,No,,No,Yes,No,,No,No,,No,No,No,,No,No,No,No,No,112
07/18/2025,07/25/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,7
07/18/2025,08/12/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,Yes,Yes,Female,No,No,,No,No,No,,No,No,No,No,Yes,25
07/17/2025,07/21/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,4
